No.,Constituency,Total Electors,Votes polled,Winning Candidate,Winning Party,Vote %,Runner-up Candidate,Runner-up Party,Vote %,Second Runner-up Candidate,Second Runner-up Party,hideVote %
Thiruvallur district,,,,,,,,,,,,
1,Gummidipundi,211646,179313,C.H. Sekar,DMDK,54.11%,K. N. Sekar,PMK,37.88%,R. Selvakumar,IND,1.04%
2,Ponneri (SC),194828,162699,Pon. Raja,AIADMK,57.66%,A. Manimekalai,DMK,38.46%,S. Raja,BSP,0.82%
3,Tiruttani,232234,189451,M. Arun Subramaniam,DMDK,50.63%,Dr. E.S. Raman,INC,38.00%,A.K. Subramani,JMM,5.15%
4,Thiruvallur,203506,170130,B.V. Ramana,AIADMK,53.69%,E.A.P. Shivaji,DMK,39.79%,E. James,PB,1.30%
5,Poonamallee (SC),220758,181490,N.S.A.R. Manimaran,AIADMK,54.60%,G.V. Mathiazhagan,INC,31.78%,M. Jaganmoorthy,PB,11.64%
6,Avadi,265914,199383,S. Abdul Rahim,AIADMK,55.22%,R. Damodaran,INC,33.54%,B. Jayaraman,IND,5.25%
7,Maduravoyal,"2,57,528",190230,G. Beem Rao,CPI(M),50.91%,K. Selvam,PMK,38.23%,S. Selvan,BJP,3.35%
8,Ambattur,251002,188187,S.Vedhachalam,AIADMK,52.78%,B. Ranganathan,DMK,40.71%,T. Jeyachandra,BJP,2.08%
9,Madavaram,254654,193181,V. Moorthy,AIADMK,59.77%,N.S. Kanimozhi,DMK,41.78%,B. Sivakumar,BJP,1.35%
10,Thiruvottiyur,208194,164641,K.Kuppan,AIADMK,57.06%,K.P.P. Samy,DMK,40.48%,V. Venkatakrishnan,BJP,1.04%
Chennai district,,,,,,,,,,,,
11,Dr.Radhakrishnan Nagar,185107,141267,P. Vetrivelu*,AIADMK,59.30%,P. K. Sekar Babu,DMK,37.18%,K.R. Vinayagam,BJP,0.92%
12,Perambur,220654,161925,Soundararajan,CPI(M),52.29%,N.R. Dhanapalan,PTMK‡,41.53%,R. Ravindrakumar,BJP,1.70%
13,Kolathur,197923,141906,M.K. Stalin,DMK,48.47%,Saidai Duraisamy,AIADMK,46.48%,K. Armstrong,BSP,2.74%
14,Villivakkam,182969,130615,J.C.D. Prabhakar,AIADMK,52.53%,K. Anbazhagan,DMK,44.28%,D. Masana Muthu,BJP,1.42%
15,Thiru-Vi-Ka-Nagar (SC),170528,123771,V. Neelakandan,AIADMK,58.89%,Dr. C. Nadesan,INC,35.18%,E. Karunanidhi,BJP,2.88%
16,Egmore (SC),158945,112129,K. Nallathambi,DMDK,46.18%,Parithi Ellamvazhuthi,DMK,45.99%,N.S. Kumaravadivel,BJP,4.38%
17,Royapuram,151333,112535,D. Jayakumar,AIADMK,57.85%,R. Manohar,INC,38.86%,D. Chandru,BJP,1.50%
18,Harbour,145183,97237,Pala. Karuppaiah,AIADMK,55.45%,Tiruppur Althaf Hussain,IUML,34.56%,M. Jaishankar,BJP,4.80%
19,Chepauk-Thiruvallikeni,179510,129739,J. Anbazhagan,DMK,49.48%,Tamimun Ansari,MNMK,42.38%,S. Venkataraman,BJP,4.14%
20,Thousand Lights,192206,133623,P. Valarmathi,AIADMK,50.53%,Asan Mohammed Jinnah,DMK,44.85%,M. Sivalingam,BJP,2.32%
21,Anna Nagar,216440,151321,Gokula Indira,AIADMK,58.78%,V.K. Arivazhagan,INC,34.60%,P.K. Haribabu,BJP,2.49%
22,Virugampakkam,203458,145727,P. Parthasarathi,DMDK,49.08%,K. Thanasekaran,DMK,39.41%,P. Sritharan,BJP,5.16%
23,Saidapet,210880,154005,G. Senthamizhan,AIADMK,51.85%,M. Mahesh Kumar,DMK,44.01%,V. Kalidas,BJP,1.96%
24,Thiyagarayanagar,185660,129484,V.P. Kalairajan,AIADMK,58.60%,A. Chellakumar,INC,33.53%,K. Ravichandran,BJP,3.53%
25,Mylapore,206078,140270,R. Rajalakshmi,AIADMK,57.08%,K. V. Thangkabalu,INC,36.38%,Vanathi Srinivasan,BJP,4.93%
26,Velachery,217026,151851,M.K. Ashok,AIADMK,54.10%,M. Jayaraman,PMK,33.21%,E. Sarathbabu,IND,4.92%
Kancheepuram district,,,,,,,,,,,,
27,Shozhinganallur,340615,241725,K.P. Kandhan,AIADMK,60.14%,S.S. Balaji,VCK,32.44%,S. Mohandoss Gandhi,BJP,3.01%
28,Alandur,230480,167552,S. Ramachandran,DMDK,45.68%,Gayatri Devi,INC,42.25%,Dr. S. Sathya Narayanan,BJP,5.75%
29,Sriperumbudur(SC),204801,172149,R. Perumal,AIADMK,59.11%,D. Yasodha,INC,35.33%,C. Dhanasekaran,PB,1.72%
30,Pallavaram,265703,200287,P. Dhansingh,AIADMK,52.74%,T.M. Anbarasan,DMK,44.07%,R. Kumar,LSP,0.54%
31,Tambaram,238295,178061,T.K.M Chinneyah,AIADMK,51.50%,S.R. Raja,DMK,43.65%,A. Veda Subramaniam,BJP,1.72%
32,Chengalpattu,240496,186518,D. Murugesan,DMDK,44.66%,V. G. Rangasamy,PMK,44.50%,M. Panneer Selvam,AIJMK,2.21%
33,Thiruporur,"1,86,552",158846,K. Manoharan,AIADMK,52.99%,K. Arumugam,PMK,41.47%,G. Sivalingam,PB,1.01%
34,Cheyyur (SC),"1,72,004",142019,V.S. Raji,AIADMK,55.14%,D. Parventhan,VCK,36.42%,O.E. Sankar,PB,1.63%
35,Madurantakam (SC),"1,77,750",147397,S. Kanitha,AIADMK,53.77%,Dr. K. Jeyakumar,INC,41.22%,C. Jaisankar,IND,1.28%
36,Uthiramerur,191487,167638,P. Ganesan,AIADMK,51.85%,Ponkumar,DMK,43.63%,M. Mohanavelu,IND,1.14%
37,Kancheepuram,231038,191439,V. Somasundaram,AIADMK,53.65%,P.S. Ulagarakshagan,PMK,40.22%,A.N. Radhakrishnan,AIPCR,1.47%
Vellore district,,,,,,,,,,,,
38,Arakkonam (SC),177492,141809,S. Ravi,AIADMK,56.00%,S. Sellapandian,VCK,37.50%,G. Mahalingam,PB,2.12%
39,Sholingur,210168,179515,P.R. Manohar,DMDK,38.97%,A.M. Muniratinam,IND,33.94%,Arul Anbarasu,INC,20.59%
40,Katpadi,185250,151012,Durai Murugan,DMK,49.71%,Appu(a) Radhakrishnan,AIADMK,47.74%,A. Varadarajan,BJP,1.02%
41,Ranipet,192217,157302,A. Mohammed Jaan,AIADMK,53.29%,R. Gandhi,DMK,44.27%,R. Murugan,IND,0.77%
42,Arcot,207232,175121,R. Srinivasan,AIADMK,53.25%,K.L. Elavazhagan,PMK,42.26%,M. Velu,IND,1.83%
43,Vellore,186065,140585,Dr. V.S. Vijay,AIADMK,50.87%,C. Gnanasekaran,INC,40.08%,J. Hassan,IND,3.75%
44,Anaikattu,184598,147093,M. Kalaiarasu,PMK,54.55%,V.B. Velu,DMDK,35.58%,M. Dharman,PCP,3.19%
45,Kilvaithinankuppam (SC),172801,139218,Se.Ku. Tamilarasan,RPI,51.72%,K. Seetharaman,DMK,44.71%,S. Anumanthan,IND,0.97%
46,Gudiyattam (SC),208182,161555,K. Lingamuthu,CPI,49.16%,K. Rajamarthandan,DMK,45.54%,C. Bharathi,IJK,1.04%
47,Vaniyambadi,186097,147147,Sampath Kumar,AIADMK,54.75%,H.Abdul Basith,IUML,42.36%,Mohammed Iliyas,IND,1.73%
48,Ambur,174817,136835,A. Aslam Basha,MNMK,44.11%,J. Vijay Ezhancheliyan,INC,40.39%,E. Sampath,IND,4.79%
49,Jolarpet,189460,155821,K.C. Veeramani,AIADMK,55.37%,K. Ponnuswamy,PMK,40.65%,M. Annamalai,IND,1.23%
50,Tirupattur,179715,149017,K.G. Ramesh,AIADMK,55.63%,S. Rajendran,DMK,41.00%,M. Selva Kumar,BJP,0.73%
Krishnagiri district,,,,,,,,,,,,
51,Uthangarai (SC),"1,83,411",152950,Manoranjitham Nagaraj,AIADMK,,Muniyammal Kaniamuthan,,Manoranjitham Kamaraj,,,
52,Bargur,"1,88,726",157907,PMK,AIADMK,,T. K. Raja,,Krishnamurthy,,,
53,Krishnagiri,"1,94,986",159512,INC,AIADMK,,Sayeeth,,K. P. Munusamy,,,
54,Veppanahalli,"1,84,098",158517,DMK,DMDK,,Senguttuvan,,S.M.Murugesan,,,
55,Hosur,"2,23,230",171572,INC,DMDK,,K. Gopinath,,Johnson,,,
56,Thalli,"1,82,722",154898,DMK,CPI,,Y.Prakash,,T. Ramachandran,,,
Dharmapuri district,,,,,,,,,,,,
57,Palacodu,"1,77,884",155967,PMK,AIADMK,,Padi Chelvan,,K. P. Anbalagan,,,
58,Pennagaram,"1,92,462",161882,DMK,CPI,,Inbasekaran,,Nanjappan,,,
59,Dharmapuri,"2,11,947",167227,PMK,DMDK,,P.Sandhamurthy,,A.Bhaskar,,,
60,Pappireddippatti,"2,05,283",167809,DMK,AIADMK,,V. Mullaivendhan,,Palaniappan,,,
61,Harur (SC),"1,85,506",149646,VCK,CPI(M),,Nandhan,,Dillibabu,,,
Tiruvannamalai district,,,,,,,,,,,,
62,Chengam (SC),"2,09,331",178119,INC,DMDK,,Chelvaperunthagai,,D.Sureshkumar,,,
63,Tiruvannamalai,"2,07,212",171338,DMK,AIADMK,,E. V. Velu,,Ramachandran,,,
64,Kilpennathur,"2,03,407",173106,DMK,AIADMK,,K. Pitchandi,,Arunganathan,,,
65,Kalasapakkam,"1,77,761",155413,INC,AIADMK,,Vijayakumar,,Agri.S.S.Krishnamurthy,,,
66,Polur,"1,93,193",166400,PMK,AIADMK,,K.Ethiroli Manian,,S.Jayasudha,,,
67,Arani,"2,11,401",180286,DMK,DMDK,,R. Sivanandam,,R.Mohan,,,
68,Cheyyar,"2,08,262",178891,INC,AIADMK,,VishnuPrasad,,Mukkur Subramaniam,,,
69,Vandavasi (SC),"1,97,252",162129,DMK,AIADMK,,Kamalakannan,,V.Gunaseelan,,,
Villupuram district,,,,,,,,,,,,
70,Gingee,"2,10,429",173794,PMK,DMDK,,Ganesh Kumar,,Sivalingam,,,
71,Mailam,"1,82,314",151169,PMK,AIADMK,,R.Prakash,,Nagarajan,,,
72,Tindivanam (SC),"1,85,432",152456,PMK,AIADMK,,M. P. Shankar,,S.Haridoss,,,
73,Vanur (SC),"1,94,093",158466,DMK,AIADMK,,Pushparaj,,Janaki Raman,,,
74,Villupuram,"2,04,517",171668,DMK,AIADMK,,K. Ponmudy,,C. V. Shanmugam,,,
75,Vikravandi,"1,84,923",151864,DMK,CPI(M),,Radhamani,,Ramamurthy,,,
76,Tirukkoyilur,"1,94,414",158699,DMK,DMDK,,Thangam,,S.Venkatesan,,,
77,Ulundurpettai,"2,25,414",190578,VCK,AIADMK,,Mohammed Yousuf,,Kumaraguru,,,
78,Rishivandiyam,"2,04,469",171067,INC,DMDK,,S. Sivaraj,,Vijayakanth,,,
79,Sankarapuram,"2,05,626",170499,DMK,AIADMK,,Udayasuriyan,,P.Mohan,,,
80,Kallakurichi (SC),"2,15,135",178086,VCK,AIADMK,,Paavarasu,,P.Alaguvel,,,
Salem district,,,,,,,,,,,,
81,Gangavalli (SC),"1,80,657",149371,DMK,DMDK,,Chinnathurai,,R.Subha,,,
82,Attur (SC),"1,93,113",158485,INC,AIADMK,,Arthanari,,S.Madheswaran,,,
83,Yercaud (ST),"2,06,535",179018,DMK,AIADMK,,Tamizhchelvan,,Perumal,,,
84,Omalur,"2,23,421",188550,PMK,AIADMK,,Tamilarasu,,Palpaaki SriKrishnan,,,
85,Mettur,"2,08,072",168942,PMK,DMDK,,G. K. Mani,,S.R.Parthiban,,,
86,Edappadi,"2,13,650",185149,PMK,AIADMK,,M. Karthik,,Palanichami,,,
87,Sankari,"2,12,064",184503,DMK,AIADMK,,S. Arumugam,,Vijayalakshmi Palanichami,,,
88,Salem (West),"2,07,869",169305,DMK,AIADMK,,Rajendran,,G.Venkatachalam,,,
89,Salem (North),"2,09,805",162763,INC,DMDK,,Jai Prakash,,R.Mohanraj,,,
90,Salem (South),"2,09,752",173080,DMK,AIADMK,,Sivalingam,,M.K.Selvaraj,,,
91,Veerapandi,"1,98,604",179472,DMK,AIADMK,,A. Rajendran,,S.K.Selvam,,,
Namakkal district,,,,,,,,,,,,
92,Rasipuram (SC),"1,91,531",161408,DMK,AIADMK,,V. P. Duraisamy,,P.Dhanapaul,,,
93,Senthamangalam (ST),"1,94,311",160773,DMK,DMDK,,K. Ponnusamy,,Santhi Rajamanickam,,,
94,Namakkal,"2,02,760",168804,KMK,AIADMK,,R. Devarajan,,K.P.P.Baskar,,,
95,Paramathi-Velur,"1,83,807",151284,PMK,TNKIP,,Vadivel Kounder,,U.Thaniyarasu,,,
96,Tiruchengodu,"1,79,032",149400,INC,DMDK,,Sundaram,,P. Sampathkumar,,,
97,Kumarapalayam,"1,81,871",160973,DMK,AIADMK,,Selvaraj,,P. Thangamani,,,
Erode district,,,,,,,,,,,,
98,Erode (East),"1,68,326",135881,DMK,DMDK,,Muthuswamy,,V.C.Chandrakumar,,,
99,Erode (West),"1,87,891",152525,INC,AIADMK,,Yuvaraj,,K.V.Ramalingam,,,
100,Modakkurichi,"1,86,037",152773,INC,AIADMK,,Palanichami,,R.M.Kittusamy,,,
101,Perundurai,"1,75,062",,KMK,AIADMK,,K.C.Balu,,Thoppu Venkatachalam,,,
102,Bhavani,"1,93,165",160085,PMK,AIADMK,,Mahendran,,P.G.Narayanan,,,
103,Anthiyur,"1,71,987",142730,DMK,AIADMK,,N. K. K. P. Raaja,,S.S.Ramanitharan,,,
104,Gobichettipalayam,"2,05,534",174062,KMK,AIADMK,,Sivaraj,,K. A. Sengottaiyan,,,
105,Bhavanisagar (SC),"1,96,606",163205,Sundaram,CPI,,,,,,,
Tiruppur district,,,,,,,,,,,,
106,Dharapuram (SC),"2,02,056",161733,DMK,AIADMK,,R.Jayanthi,,K.Ponnusamy,,,
107,Kangayam,"1,91,010",157817,INC,AIADMK,,Vidiyal S.Sekar,,N.S.N.Nadaraj,,,
108,Avanashi (SC),"1,89,344",154358,INC,AIADMK,,A.R.Nadarajan,,A.A.Karuppasami,,,
109,Tiruppur (North),"2,06,659",160873,DMK,AIADMK,,C. Govindasamy,,M.S.N.Anandan,,,
110,Tiruppur (South),"1,59,886",122278,INC,CPI(M),,K.Senthilkumar,,Thangavelu,,,
111,Palladam,"2,22,906",176693,KMK,AIADMK,,Balasubramanian,,K.P.Paramasivam,,,
